Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
81		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
03136010		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3214-3232	11.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
215		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2024	0.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
217		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
16480.72		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.542646085997795		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
13684.049022447634		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1506.1760000000006		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2796.670977552367		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
307.8239999999994	307.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
		Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
61.76181618522656	11.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.0610000000000355	11.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	12.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0	12.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
54.91150588754171	13.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.4710000000000036	13.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
43.345928952591095	14.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.3249999999999886	14.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
37.195186152149894	21.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.204999999999984	21.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
32.843331201764144	22.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.8500000000000227	22.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
44.499761058434885	23.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.6510000000000673	23.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
48.98789539139967	24.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.0190000000000055	24.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
53.32157975744186	31.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.8759999999999764	31.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.04357287761937	32.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.19300000000009732	32.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
