Nome	Endereco	Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266182	11	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266183	12	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259828	13	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253910	14	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259895	21	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266190	22	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101128	23	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259802	24	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266188	31	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B867886	32	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B867824	33	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259891	34	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266181	41	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A07P588260	42	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266136	43	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259893	44	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259824	51	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A07B594046	52	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101139	53	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259822	54	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101141	61	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266131	62	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A07B594283	63	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101123	64	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266140	71	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101138	72	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253906	73	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253901	74	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259826	81	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259827	82	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253903	83	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259860	84	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101130	91	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266132	92	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B998392	93	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259823	94	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259782	101	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101135	102	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101125	103	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101124	104	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266185	111	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101140	112	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101132	113	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B866615	114	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101126	121	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259804	122	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253909	123	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259830	124	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253908	131	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101134	132	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266186	133	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	6418015	134	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266189	141	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259866	142	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B867573	143	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259825	144	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	6422146	151	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B957757	152	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266139	153	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266138	154	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101122	161	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266135	162	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266137	163	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253902	164	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259857	171	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101133	172	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266187	173	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253905	174	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266122	11	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259896	12	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266093	13	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259809	14	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101121	21	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259870	22	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259894	23	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259892	24	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A10B101131	31	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259829	32	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266133	33	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A08B957665	34	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259898	41	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259862	42	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259805	43	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259897	44	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B253904	51	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259867	52	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259789	53	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259785	54	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259868	61	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259810	62	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259899	63	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259803	64	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259863	71	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259869	72	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259861	73	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259786	74	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259783	81	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
