Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
	11	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	12	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	13	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	14	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	21	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	22	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	23	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	24	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	31	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	32	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	33	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	34	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	41	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	42	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	43	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	44	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	51	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	52	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	53	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	54	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	61	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	62	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
	63	Água Fria	21/10/2024	11:57:53	0	0	0	l	-	0	0	0	0	0	0	0
